_id,BatchFileName,Indiv_Index,ConductedEnergyWeapon_CartridgeProbe_CartridgeProbeCycles_Cyc
537,121207113,1,Single Cycle (5 seconds)
538,819116483,1,Single Cycle (5 seconds)
539,141765481,1,Single Cycle (5 seconds)
540,130982020,1,Single Cycle (5 seconds)
541,372410460,1,Single Cycle (5 seconds)
542,762489613,1,Multiple Cycles
543,857298060,1,Single Cycle (5 seconds)
544,451100609,1,Single Cycle (5 seconds)
545,451100609,1,Multiple Cycles
546,400203400,1,Single Cycle (5 seconds)
547,728878273,1,Single Cycle (5 seconds)
548,728878273,1,Multiple Cycles
549,670674648,1,Single Cycle (5 seconds)
550,642104279,1,Single Cycle (5 seconds)
551,816508709,1,Single Cycle (5 seconds)
552,948635842,1,Extended Cycle (more than 5 seconds)
553,834619198,1,Extended Cycle (more than 5 seconds)
554,570526586,1,Single Cycle (5 seconds)
555,876884980,1,Multiple Cycles
556,214256038,1,Extended Cycle (more than 5 seconds)
557,280323184,1,Single Cycle (5 seconds)
558,191057044,1,Single Cycle (5 seconds)
559,778212042,1,Extended Cycle (more than 5 seconds)
560,369800554,1,Single Cycle (5 seconds)
561,162239207,1,Extended Cycle (more than 5 seconds)
562,147360952,1,Single Cycle (5 seconds)
563,793349720,1,Single Cycle (5 seconds)
564,460952013,1,Single Cycle (5 seconds)
565,367672055,1,Single Cycle (5 seconds)
566,514683238,1,Single Cycle (5 seconds)
567,169717478,1,Multiple Cycles
568,971800593,1,Single Cycle (5 seconds)
569,417430123,1,Single Cycle (5 seconds)
570,202390288,1,Multiple Cycles
571,514874090,1,Multiple Cycles
572,693860747,1,Single Cycle (5 seconds)
573,954129945,1,Extended Cycle (more than 5 seconds)
574,218583978,1,Single Cycle (5 seconds)
575,536268713,1,Single Cycle (5 seconds)
576,640810637,1,Extended Cycle (more than 5 seconds)
577,348980972,1,Single Cycle (5 seconds)
578,885549920,1,Multiple Cycles
579,251190910,1,Multiple Cycles
580,621525466,1,Single Cycle (5 seconds)
581,403940176,1,Single Cycle (5 seconds)
582,125399362,1,Single Cycle (5 seconds)
583,125399362,1,Extended Cycle (more than 5 seconds)
584,147966742,1,Single Cycle (5 seconds)
585,552509529,1,Single Cycle (5 seconds)
586,390377090,1,Multiple Cycles
587,621577017,1,Single Cycle (5 seconds)
588,508219935,1,Single Cycle (5 seconds)
589,149989437,1,Extended Cycle (more than 5 seconds)
590,449393130,1,Multiple Cycles
591,814152402,1,Single Cycle (5 seconds)
592,451882707,1,Single Cycle (5 seconds)
593,618540475,1,Single Cycle (5 seconds)
594,653661620,1,Single Cycle (5 seconds)
595,112699705,1,Multiple Cycles
596,598338723,1,Single Cycle (5 seconds)
597,803857510,1,Single Cycle (5 seconds)
598,351589316,1,Single Cycle (5 seconds)
599,147375837,1,Single Cycle (5 seconds)
600,183190053,1,Single Cycle (5 seconds)
601,882073133,1,Single Cycle (5 seconds)
602,223207730,1,Extended Cycle (more than 5 seconds)
603,932578677,1,Extended Cycle (more than 5 seconds)
604,179475040,1,Single Cycle (5 seconds)
605,142387795,1,Extended Cycle (more than 5 seconds)
606,136092890,1,Single Cycle (5 seconds)
607,950054152,1,Single Cycle (5 seconds)
608,116069305,1,Multiple Cycles
609,102516584,1,Single Cycle (5 seconds)
610,764322260,1,Single Cycle (5 seconds)
611,535391897,1,Multiple Cycles
612,769319463,1,Multiple Cycles
613,219930477,1,Single Cycle (5 seconds)
614,238666597,1,Single Cycle (5 seconds)
615,912844567,1,Single Cycle (5 seconds)
616,970744216,1,Multiple Cycles
617,283694051,1,Multiple Cycles
618,213076713,1,Single Cycle (5 seconds)
619,696164429,1,Single Cycle (5 seconds)
620,259959214,1,Single Cycle (5 seconds)
621,286600236,1,Single Cycle (5 seconds)
622,309773847,1,Single Cycle (5 seconds)
623,629666533,1,Single Cycle (5 seconds)
624,629666533,1,Extended Cycle (more than 5 seconds)
625,556622835,1,Single Cycle (5 seconds)
626,744784146,1,Single Cycle (5 seconds)
627,732734480,1,Extended Cycle (more than 5 seconds)
628,932872085,1,Extended Cycle (more than 5 seconds)
629,178305369,1,Multiple Cycles
630,870992763,1,Multiple Cycles
631,940131618,1,Single Cycle (5 seconds)
632,261101288,1,Single Cycle (5 seconds)
633,249767553,1,Single Cycle (5 seconds)
634,645220291,1,Multiple Cycles
635,856661941,1,Single Cycle (5 seconds)
636,478639861,1,Single Cycle (5 seconds)
